,name,year,rating,metascore,votes,gross(millions),genre_1,genre_2,genre_3,Director
0,Alien,1979,8.5,89,923281,78.9,Horror,Sci-Fi,,Ridley Scott
1,Psycho,1960,8.5,97,701679,32.0,Horror,Mystery,Thriller,Alfred Hitchcock
3,The Shining,1980,8.4,66,1075121,44.02,Drama,Horror,,Stanley Kubrick
4,The Thing,1982,8.2,57,450236,13.78,Horror,Mystery,Sci-Fi,John Carpenter
5,The Exorcist,1973,8.1,82,439076,232.91,Horror,,,William Friedkin
6,Diabolique,1955,8.1,,68262,1.09,Crime,Drama,Horror,Henri-Georges Clouzot
7,What Ever Happened to Baby Jane?,1962,8.0,75,60120,4.05,Drama,Horror,Thriller,Robert Aldrich
8,Shaun of the Dead,2004,7.9,76,580976,13.54,Comedy,Horror,,Edgar Wright
9,King Kong,1933,7.9,92,89143,10.0,Adventure,Horror,Sci-Fi,Merian C. Cooper
11,Predator,1987,7.8,47,442697,59.74,Action,Adventure,Horror,John McTiernan
12,Night of the Living Dead,1968,7.8,89,135699,0.09,Horror,Thriller,,George A. Romero
14,Let the Right One In,2008,7.8,82,223557,2.12,Drama,Fantasy,Horror,Tomas Alfredson
15,I Saw the Devil,2010,7.8,67,141168,0.13,Action,Crime,Thriller,Jee-woon Kim
16,Dawn of the Dead,1978,7.8,71,125980,5.1,Horror,Thriller,,George A. Romero
18,The Bride of Frankenstein,1935,7.8,95,51581,4.36,Drama,Horror,Sci-Fi,James Whale
19,Freaks,1932,7.8,80,49211,0.63,Drama,Horror,,Tod Browning
20,The Innocents,1961,7.8,88,32302,2.62,Horror,,,Jack Clayton
21,Halloween,1978,7.7,87,296271,47.0,Horror,Thriller,,John Carpenter
23,Evil Dead II,1987,7.7,72,177681,5.92,Comedy,Horror,,Sam Raimi
24,Saw,2004,7.6,46,451342,56.0,Horror,Mystery,Thriller,James Wan
25,American Psycho,2000,7.6,64,681257,15.07,Crime,Drama,Horror,Mary Harron
26,The Others,2001,7.6,74,383809,96.52,Horror,Mystery,Thriller,Alejandro Amenábar
27,What We Do in the Shadows,2014,7.6,76,194595,3.33,Comedy,Horror,,Jemaine Clement
28,The Fly,1986,7.6,79,195979,40.46,Drama,Horror,Sci-Fi,David Cronenberg
29,The Birds,1963,7.6,90,199946,11.4,Drama,Horror,Mystery,Alfred Hitchcock
30,Tumbbad,2018,8.2,,55774,2.12,Drama,Fantasy,Horror,Rahi Anil Barve
31,Rosemary's Baby,1968,8.0,96,228536,22.325000000000003,Drama,Horror,,Roman Polanski
32,The Cabinet of Dr. Caligari,1920,8.0,,68126,90.14,Horror,Mystery,Thriller,Robert Wiene
33,Nosferatu,1922,7.9,,102722,,Fantasy,Horror,,F.W. Murnau
34,Frankenstein,1931,7.8,91,77427,22.41,Drama,Horror,Sci-Fi,James Whale
37,Invasion of the Body Snatchers,1956,7.7,92,53293,22.41,Drama,Horror,Sci-Fi,Don Siegel
39,The Invisible Man,1933,7.6,87,38624,78.9,Horror,Sci-Fi,,James Whale
